Tõrva Maxima X pakiautomaat,57.997766,25.932639
Järva-Jaani Grossi pakiautomaat,59.038314,25.884212
Pähklimäe postkontor,59.385937,28.184249
1it postipunkt,59.420107,24.714293
Laagna postipunkt (Bonfortuno OÜ),59.439628,24.845265
Viljandi Vaksali Maxima X pakiautomaat,58.361816,25.582631
Kunda postipunkt,59.50489,26.504913
Tõrva postkontor,58.002604,25.922269
Tallinna Idakeskuse pakiautomaat,59.432084,24.823852
Raasiku postkontor,59.36964,25.18228
Muuga Maxima X pakiautomaat,59.474046,24.916136
Tartu Lembitu Coop Konsumi pakiautomaat,58.369952,26.709853
Viljandi Bussijaama pakiautomaat,58.369069,25.598762
Maardu Maxima XX pakiautomaat,59.473515,25.019637
Maardu postkontor,59.47362,25.020554
Narva Tiimani Maxima XX pakiautomaat,59.380906,28.165016
Tallinna Torupilli Selveri pakiautomaat,59.432211,24.780674
Rae postkontor,59.402353,24.811533
Peetri Selveri pakiautomaat,59.402735,24.811046
Kuusalu postkontor,59.446046,25.439015
Tallinna Punase Selveri pakiautomaat,59.43501,24.840675
Jõhvi Pargi keskuse pakiautomaat,59.352488,27.419731
Tallinna Viru Bussiterminali pakiautomaat,59.436135,24.756196
Kehra postkontor,59.334658,25.333074
Tallinna Tondi Selveri pakiautomaat,59.403079,24.714367
Juuru postipunkt,59.058274,24.963126
Väike-Maarja postipunkt,59.129286,26.253397
Kohtla-Järve Vironia keskuse pakiautomaat,59.398106,27.285897
Kohtla-Järve postkontor,59.397948,27.286075
Alavere postipunkt,59.245232,25.328382
Ahtme Maxima XX pakiautomaat,59.337327,27.420312
Järvakandi postipunkt,58.776425,24.815135
Abja-Paluoja postipunkt,58.126151,25.353927
Pärnu Tiina Coop Konsumi pakiautomaat,58.38005,24.526998
Tartu Jaamamõisa Selveri pakiautomaat,58.381751,26.751181
Rakvere Vaala Keskuse pakiautomaat,59.354905,26.383605
Tartu Tuglase Rimi pakiautomaat,58.385073,26.691921
Kuivastu postipunkt (Sadam),58.572826,23.390366
Tallinna Juhkentali Rimi pakiautomaat,59.427539,24.77037
Tallinna Kivila Grossi pakiautomaat,59.44372,24.872824
Avinurme postipunkt,58.985433,26.864697
Tartu Saare Maxima X pakiautomaat,58.37506,26.756571
Tallinna Järveotsa Grossi pakiautomaat,59.407278,24.640639
Tallinna Mustamäe Keskuse pakiautomaat,59.408292,24.689152
Tallinna Vilde tee Maxima XX pakiautomaat,59.402791,24.686321
Kohtla-Järve Keskallee Maxima X pakiautomaat,59.402352,27.284854
Aseri Grossi pakiautomaat,59.44963,26.866788
Kihelkonna postipunkt,58.359766,22.039274
Tallinna Solaris Keskuse pakiautomaat,59.433827,24.751343
Kambja postipunkt,58.239241,26.689736
Otepää Maxima X pakiautomaat,58.058788,26.497438
Kiili postipunkt,59.310014,24.834292
Luunja postiautomaat (ainult ettemakstud pakkide väljastamine),58.356181,26.882264
Rannu postipunkt,58.239309,26.216638
Võhma Bussijaama pakiautomaat,58.630963,25.557505
Kostivere Meie kaupluse pakiautomaat,59.428523,25.094629
Muhu Liiva Alexela pakiautomaat,58.605247,23.236035
Kiili Coop Konsumi pakiautomaat,59.30749,24.837485
Harku postkontor,59.391082,24.580372
Plasti postipunkt,59.435779,24.847341
Tallinna Pirita Keskuse pakiautomaat,59.468486,24.835133
Alatskivi postipunkt,58.601971,27.134852
Iisaku postipunkt,59.099539,27.310516
Mustvee postipunkt,58.848209,26.94173
Haabneeme Coop Konsumi pakiautomaat,59.512901,24.819772
Tallinna Tondi Ärikeskuse pakiautomaat,59.410291,24.736499
Kolkja postipunkt,58.550503,27.213315
Võnnu postipunkt,58.283697,27.047288
Põltsamaa Selveri pakiautomaat,58.65412,25.980273
Keila Rõõmu kaubamaja pakiautomaat,59.307554,24.398912
Paldiski Coop Konsumi pakiautomaat,59.352619,24.055929
Maardu Pärli Keskuse pakiautomaat,59.486818,25.017923
Rakvere Põhjakeskuse pakiautomaat,59.364081,26.339553
Sillamäe Viru pst Maxima X pakiautomaat,59.3912,27.790681
Kohtla-Nõmme postipunkt,59.354615,27.193088
Vinni Spordikompleksi pakiautomaat,59.28992,26.426515
Aiandi postipunkt (Roserii looduspood),59.413446,24.688512
Käina postipunkt,58.831404,22.773574
Halliste postipunkt (Leerimaja),58.155413,25.427
Tõstamaa postiautomaat (ainult ettemakstud pakkide väljastamine),58.33462,23.994025
Tallinna Ümera Maxima XX pakiautomaat,59.444379,24.888924
Viimsi Pärnamäe Rimi pakiautomaat,59.462159,24.905474
Risti postipunkt,58.996843,24.062521
Valga Siili Coop Konsumi pakiautomaat,57.778938,26.036988
Haljala postipunkt,59.432174,26.266103
Pärnu-Jaagupi Grossi pakiautomaat,58.609379,24.504647
Tallinna Paepargi Maxima XX pakiautomaat,59.43516,24.811635
Pärnu Coop Maksimarketi pakiautomaat,58.395611,24.457352
Tallinna Nõmme turu pakiautomaat,59.388861,24.683427
Tartu Raadi Maxima XX pakiautomaat,58.391841,26.729907
Raadi postkontor,58.391808,26.730412
Räpina Maxima X pakiautomaat,58.096083,27.451331
Kreenholmi postkontor,59.366202,28.188135
Narva-Jõesuu postipunkt,59.459856,28.041597
Tallinna Raudalu Coop Konsumi pakiautomaat,59.366249,24.759516
Laagri Veskitammi Selver ABC pakiautomaat,59.351164,24.612414
Laagri postkontor,59.351013,24.612169
Narva Prisma pakiautomaat,59.386877,28.178001
Türi Maxima X pakiautomaat,58.806201,25.427857
Lelle postipunkt,58.860625,25.005284
Võru postkontor,57.848336,27.01001
Tallinna Magistrali Keskuse pakiautomaat,59.401372,24.697046
Võru Maxima XX pakiautomaat,57.847794,27.004895
Olustvere postipunkt,58.555909,25.557936
Leevi postipunkt (kauplus),57.946853,27.214848
Saku Coop Ehituskeskuse pakiautomaat,59.302034,24.669534
Prangli postkontor,59.62953,25.010052
Võru Coop Maksimarketi pakiautomaat,57.835449,27.010698
Luha postkontor,57.846349,26.997745
Saue Kaubakeskuse pakiautomaat,59.324906,24.552558
Keila postkontor,59.306799,24.413942
Tartu Ringtee Selveri pakiautomaat,58.353113,26.686381
Vaida postipunkt,59.285452,24.977156
Valga Maxima XX pakiautomaat,57.774392,26.04414
Pärnu Ülejõe Selveri pakiautomaat,58.408451,24.49512
Kohila postkontor,59.167226,24.749749
Tartu Tasku keskuse pakiautomaat,58.377805,26.731127
Tallinna Pirita Selveri pakiautomaat,59.462298,24.827687
Viimsi Kaubanduskeskuse pakiautomaat,59.506255,24.830353
Pärnu Maxima XXX pakiautomaat,58.375126,24.536591
Kuusalu Coop Konsumi pakiautomaat,59.445371,25.441136
Tallinna Haabersti Rimi pakiautomaat,59.424517,24.644102
Viljandi Männimäe Selveri pakiautomaat,58.352996,25.5843
Jõgeva Postkontori pakiautomaat,58.74712,26.396317
Jüri postkontor,59.35828,24.9121
Roobuka postiautomaat (ainult ettemakstud pakkide väljastamine),59.221647,24.67179
Jüri Coop Konsumi pakiautomaat,59.358314,24.912175
Ardu postipunkt,59.099963,25.358704
Puurmani postipunkt,58.57701,26.290502
Pärnu Jannseni Rimi pakiautomaat,58.391712,24.49403
Viljandi Coop Maksimarketi pakiautomaat,58.370653,25.583164
Võhma postkontor,58.630491,25.558136
Rapla Maxima X pakiautomaat,58.998328,24.790997
Kolga-Jaani postipunkt,58.533573,25.943085
Ringtee postkontor,58.344923,26.71343
Varstu postipunkt,57.646922,26.668325
Riisipere postkontor,59.106485,24.31522
Suure-Jaani postkontor,58.536369,25.465324
Tsirguliina postipunkt,57.864481,26.191459
Kehra Coop Konsumi pakiautomaat,59.333827,25.332838
Roela postipunkt,59.165103,26.585755
Tapa postkontor,59.264638,25.964265
Sadala postipunkt,58.861705,26.605572
